strain	accession	subtype	date	host	country	region	species	broad	order
A/canine/China/15001/2019	EPI2475614	H3N2	2019-02-02	Canine	China	China	Canine	canine	Canine
A/swine/North_Carolina/A01894904/2016	KX351177	H3N2	2016-03-31	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ontario/G3/2014	KX264746	H3N2	2014-11-07	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ohio/OH20-24176/2020	EPI2497378	H3N2	2020-11-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/OH20-24338/2020	EPI2497386	H3N2	2020-11-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A02090984/2015	KU171022	H3N2	2015-10-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A02090943/2015	KU171025	H3N2	2015-10-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01749100/2015	KU171028	H3N2	2015-10-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Missouri/A01775853/2016	KX380229	H3N2	2016-05-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/OH20-24947/2020	EPI2497418	H3N2	2020-11-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01775597/2016	KX380241	H3N2	2016-05-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01677935/2016	KX394227	H3N2	2016-05-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/28146/2019	EPI2460881	H3N2	2019-12-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Oklahoma/A01776961/2016	KX618907	H3N2	2016-06-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Quebec/1603088/2014	KX571079	H3N2	2014-05-06	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1714808/2015	KX571078	H3N2	2015-02-27	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1557833/2013	KX571076	H3N2	2013-01-06	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1626561/2014	KX571075	H3N2	2014-07-02	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1698182/2014	KX571074	H3N2	2014-01-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1698185/2014	KX571073	H3N2	2014-01-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/Iowa/A01857687/2015	KT965429	H3N2	2015-09-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260976/2015	KT965341	H3N2	2015-09-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Quebec/1561816/2014	KX571072	H3N2	2014-01-20	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1279920/2011	KX571071	H3N2	2011-03-09	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1279825/2011	KX571070	H3N2	2011-03-10	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/P0316/2011	KX571069	H3N2	2011-03-10	Swine	Canada	North America	Swine	swine	Swine
A/swine/Quebec/1708732/2015	KX571068	H3N2	2015-02-12	Swine	Canada	North America	Swine	swine	Swine
A/feline/Korea/FY057/2014	KX509799	H3N2	2014-03-02	Feline	South Korea	Japan Korea	Feline	feline	Feline
A/canine/Korea/CY053/2014	KX509798	H3N2	2014-03-02	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/swine/Iowa/A01776537/2016	KX518673	H3N2	2016-06-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01776152/2016	KX433142	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01776136/2016	KX433141	H3N2	2016-05-31	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01775848/2016	KX394215	H3N2	2016-05-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/28128/2019	EPI2460863	H3N2	2019-12-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260135/2012	KC355802	H3N2	2012-11-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01279722/2012	KC405485	H3N2	2012-12-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/11SW347/2011	CY131957	H3N2	2011-08-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01203672/2012	JX543519	H3N2	2012-07-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A00968379/2012	JX534998	H3N2	2012-07-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ontario/G11/2014	KX264754	H3N2	2014-07-15	Swine	Canada	North America	Swine	swine	Swine
A/swine/Indiana/A00968376/2012	JX534990	H3N2	2012-07-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A00968373/2012	JX534982	H3N2	2012-07-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ontario/G12/2014	KX264755	H3N2	2014-09-03	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/G10/2014	KX264753	H3N2	2014-09-04	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/G13/2014	KX264756	H3N2	2014-09-03	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/G14/2014	KX264757	H3N2	2014-08-12	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/G15/2014	KX264758	H3N2	2014-06-18	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/G16/2014	KX264759	H3N2	2014-07-24	Swine	Canada	North America	Swine	swine	Swine
A/swine/Missouri/A01943095/2016	KX261848	H3N1	2016-03-22	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01943075/2016	KX261837	H3N2	2016-04-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01895864/2016	KX255808	H3N2	2016-04-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01895763/2016	KX255787	H3N2	2016-04-20	Swine	Usa	North America	Swine	swine	Swine
A/duck/Thailand/CU-11826C/2011	KJ161966	H3N6	2011-12-20	Avian	Thailand	Southeast Asia	Duck	duck	Anseriformes
A/swine/North_Carolina/A01895772/2016	KX255784	H3N2	2016-04-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A00968370/2012	JX534974	H3N2	2012-07-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01895828/2016	KX255781	H3N2	2016-04-14	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU293/2012	JX534969	H3N2	2012-07-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/Korea/D79/2011	JX502000	H3N2	2011-10-XX	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/South_Dakota/A01279518/2012	KC405500	H3N2	2012-12-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Korea/A18/2011	JX501999	H3N2	2011-09-XX	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Alberta/G9/2014	KX264752	H3N2	2014-04-24	Swine	Canada	North America	Swine	swine	Swine
A/swine/Iowa/A01279512/2012	KC355812	H3N2	2012-12-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/14/2012	JX401343	H3N2	2012-07-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/G1/2014	KX264744	H3N2	2014-01-20	Swine	Canada	North America	Swine	swine	Swine
