strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Minnesota/A01432433/2013	KC715694	H3N2	2013-02-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Wyoming/A01445296/2013	KC748511	H3N2	2013-02-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Wyoming/A01379354/2013	KC951127	H3N2	2013-03-29	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/A01208180/2012	KC951213	H3N2	2012-07-31	Swine	Usa	North America	Swine	swine	Swine
A/swine/Wyoming/A01379346/2013	KC904784	H3N2	2013-03-29	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01432462/2013	KC715703	H3N2	2013-02-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01445725/2013	KC822381	H3N2	2013-02-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01432500/2013	KC755692	H3N2	2013-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01432492/2013	KC755683	H3N2	2013-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/feline/Korea/FY028/2010	KC755923	H3N2	2010-10-XX	Feline	South Korea	Japan Korea	Feline	feline	Feline
A/canine/Korea/CY009/2010	KC755921	H3N2	2010-10-XX	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/canine/Korea/CY001/2010	KC755919	H3N2	2010-10-XX	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/swine/Kansas/13-105721a/2013	KC751556	H3N2	2013-02-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Kansas/12-165022/2012	KC751553	H3N2	2012-12-31	Swine	Usa	North America	Swine	swine	Swine
A/swine/Wyoming/A01445305/2013	KC748520	H3N2	2013-02-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01432544/2013	KC841828	H3N2	2013-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01432566/2013	KC841840	H3N2	2013-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01432529/2013	KC841843	H3N2	2013-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01432584/2013	KC849379	H3N2	2013-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Korea/CY02-08/2012	KC471404	H3N1	2012-02-07	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY02-09/2012	KC471412	H3N2	2012-02-07	Swine	South Korea	Japan Korea	Swine	swine	Swine
