strain	accession	subtype	date	host	country	region	species	broad	order
A/duck/Vietnam/HN6561/2020	MW873104	H3N2	2020-09-04	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/mallard/California/M15t72maH3/2018	MW132233	H3N8	2018-09-15	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/California/UCD101475mdck/2016	MW132225	H3N8	2016-10-19	Avian	Usa	North America	Mallard	duck	Anseriformes
A/harbor_seal/New_Hampshire/SL06B48H3/2018	MW132203	H3N8	2018-10-13	Seal	Usa	North America	Harbor Seal	seal	Seal
A/harbor_seal/New_Hampshire/SL06B72H3/2018	MW132167	H3N8	2018-10-14	Seal	Usa	North America	Harbor Seal	seal	Seal
A/duck/Vietnam/HN5421/2019	MW934954	H3N2	2019-04-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/canine/Guangdong/DY1/2019	MW126982	H3N2	2019-06-23	Canine	China	China	Canine	canine	Canine
A/wildbird/California/187718-36/2008	MT982383	H3N8	2008-XX-XX	Avian	Usa	North America	Bird	avian	Avian
A/American_Black_Duck/Ohio/17OS1914/2017	MT825016	H3N8	2017-08-03	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_Green-winged_Teal/Missouri/17OS3221/2017	MT824852	H3N8	2017-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_Green-winged_Teal/Ohio/17OS2916/2017	MT824748	H3N8	2017-09-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/Blue-winged_Teal/Wisconsin/17OS3618/2017	MT824739	H3N8	2017-09-30	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/Blue-winged_Teal/Missouri/17OS3072/2017	MT824646	H3N8	2017-09-09	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/duck/Vietnam/HN5953/2019	MW935055	H3N8	2019-11-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5958/2019	MW935185	H3N8	2019-11-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN4792/2018	MW936300	H3N1	2018-07-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN4793/2018	MW936238	H3N1	2018-07-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN4903/2018	MW936185	H3N2	2018-08-29	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN4910/2018	MW936168	H3N2	2018-08-29	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/HN5003/2018	MW936130	H3N2	2018-10-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN4911/2018	MW936085	H3N2	2018-08-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/equine/Ohio/OH21-6023/2021	MZ337813	H3N8	2021-03-	Equine	Usa	North America	Equine	equine	Equine
A/duck/Vietnam/HN4798/2018	MW936076	H3N1	2018-07-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swine/Spain/45690-11/2019	MZ363743	H3N1	2019-04-12	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Spain/45690-12/2019	MZ363766	H3N1	2019-04-12	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Spain/45690-10/2018	MZ945760	H3N1	2018-11-06	Swine	Spain	Europe	Swine	swine	Swine
A/equine/New_York/034924/2020	OQ379720	H3N8	2020-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/New_Jersey/93950/2015	OQ379712	H3N8	2015-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/New_Hampshire/315579/2015	OQ379704	H3N8	2015-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/California/CRP419/2019	OQ379696	H3N8	2019-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/California/CRP342/2019	OQ379230	H3N8	2019-03-	Equine	Usa	North America	Equine	equine	Equine
A/equine/California/CRP341/2019	OQ379222	H3N8	2019-03-	Equine	Usa	North America	Equine	equine	Equine
A/equine/California/CRP340/2019	OQ379214	H3N8	2019-03-	Equine	Usa	North America	Equine	equine	Equine
