strain	accession	subtype	date	host	country	region	species	broad	order
A/ruddy_turnstone/Delaware_Bay/215/2005	MH579061	H3N8	2005-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/ruddy_turnstone/Delaware_Bay/276/2005	MH579000	H3N8	2005-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/ruddy_turnstone/Delaware_Bay/178/2005	MH578813	H3N6	2005-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/semipalmated_sandpiper/Delaware_Bay/581/2005	MH578807	H3N6	2005-05-21	Avian	Usa	North America	Semi-palmated Sandpiper	wader	Neoave
A/duck/France/161005/2016	MH560271	H3N2	2016-03-13	Avian	France	Europe	Duck	duck	Anseriformes
A/American_oystercatcher/Chile/C17400/2016	MH498968	H3N8	2016-10-27	Avian	Chile	South America	American Oystercatcher	wader	Neoave
A/American_oystercatcher/Chile/C17359/2016	MH499035	H3N8	2016-10-27	Avian	Chile	South America	American Oystercatcher	wader	Neoave
A/swine/Ontario/11-105317/2011	KJ413911	H3N2	2011-11-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ohio/16TOSU3194/2016	MH283690	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/16TOSU2298/2016	MH283676	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Michigan/16TOSU3328/2016	MH283668	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01409717/2013	KJ154086	H3N2	2013-12-26	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ontario/204-76/2012	KJ413913	H3N2	2012-08-22	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/14722/2005	DQ469970	H3N2	2005-XX-XX	Swine	Canada	North America	Swine	swine	Swine
A/swine/British_Columbia/28103/2005	DQ469978	H3N2	2005-XX-XX	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/12707/2005	DQ469986	H3N2	2005-XX-XX	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ohio/16TOSU3193/2016	MH283628	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/16TOSU3152/2016	MH283679	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01409657/2013	KJ154112	H3N2	2013-12-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01411232/2013	KJ154118	H3N2	2013-12-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Italy/39106/2017	MK075096	H3N2	2017-02-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/16713/2016	MK075079	H3N2	2016-01-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/39230/2017	MK075041	H3N2	2017-02-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Indiana/18TOSU3614/2018	MH791956	H3N2	2018-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/18TOSU3611/2018	MH791959	H3N2	2018-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/18TOSU3605/2018	MH791962	H3N2	2018-06-01	Swine	Usa	North America	Swine	swine	Swine
A/duck/Thailand/CU-11827T/2011	KJ161942	H3N6	2011-12-20	Avian	Thailand	Southeast Asia	Duck	duck	Anseriformes
A/swine/Iowa/A01409518/2013	KJ154152	H3N2	2013-12-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01409647/2013	KJ154143	H3N2	2013-12-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01785592/2018	MH814933	H3N2	2018-08-07	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01409611/2013	KJ154131	H3N2	2013-12-14	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01409675/2013	KJ154125	H3N2	2013-12-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01409104/2013	KF922807	H3N2	2013-10-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01290717/2013	KF922801	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01290748/2013	KF922792	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1035/2013	KJ640291	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU1373/2013	KJ640235	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1155/2013	KJ640219	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01493218/2014	KJ667970	H3N2	2014-03-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01410527/2014	KJ701804	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01475217/2014	KJ701813	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Missouri/A01411681/2014	KJ701822	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01475190/2014	KJ701825	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01410453/2014	KJ701840	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU2130/2013	KJ640339	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01410373/2014	KJ701862	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01493469/2014	KJ702433	H3N2	2014-03-26	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01493501/2014	KJ702436	H3N2	2014-03-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01480817/2014	KJ702442	H3N2	2014-04-02	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A00968344/2011	KJ719476	H3N2	2011-09-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/SG1438/2011	CY158769	H3N2	2011-11-08	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/01782/2007	CY158681	H3N2	2007-10-03	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/01114/2006	CY158641	H3N2	2006-05-01	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/A01410529/2014	KJ701850	H3N2	2014-03-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU0411/2013	KJ640403	H3N2	2013-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU1541/2013	KJ640411	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1319/2013	KJ640419	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/South_Dakota/A01480341/2014	KJ588371	H3N2	2014-02-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260462/2014	KJ579977	H3N2	2014-01-02	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260466/2014	KJ579980	H3N2	2014-01-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01480518/2014	KJ635925	H3N2	2014-03-11	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01480656/2014	KJ635928	H3N2	2014-03-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01493027/2014	KJ639900	H3N2	2014-03-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260479/2014	KJ650532	H3N2	2014-01-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU0410/2013	KJ640812	H3N2	2013-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU2194/2013	KJ640772	H3N2	2013-09-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU2132/2013	KJ640764	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU1547/2013	KJ640756	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1042/2013	KJ640748	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU1221/2013	KJ640732	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU1238/2013	KJ640724	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1026/2013	KJ640716	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU2043/2013	KJ640571	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1050/2013	KJ640563	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1207/2013	KJ640515	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/13TOSU1217/2013	KJ640507	H3N2	2013-07-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/13TOSU2052/2013	KJ640443	H3N2	2013-08-01	Swine	Usa	North America	Swine	swine	Swine
A/blue-winged_teal/Illinois/12OS2986/2012	CY186437	H3N8	2012-09-08	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/canine/Zhejiang/S34/2015	MH018582	H3N8	2015-01-06	Canine	China	China	Canine	canine	Canine
A/swine/Iowa/03734/2011	CY158561	H3N2	2011-01-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/SG1358/2010	CY158409	H3N2	2010-09-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01509203/2014	KJ801502	H3N2	2014-04-15	Swine	Usa	North America	Swine	swine	Swine
