strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Ohio/10SW133/2010	CY131007	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0494/2022	OP871158	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0217/2022	OP871198	H3N2	2022-05-07	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0469/2022	OP871204	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0257/2022	OP871227	H3N2	2022-04-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0771/2022	OP871241	H3N2	2022-05-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU1157/2022	OP871258	H3N2	2022-06-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW90/2009	CY130871	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW91/2009	CY130879	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW92/2009	CY130887	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW93/2009	CY130895	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW94/2009	CY130903	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/21TOSU1622/2021	OP871113	H3N2	2021-06-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW97/2009	CY130919	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW99/2009	CY130935	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW121/2010	CY130943	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW122/2010	CY130951	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW125/2010	CY130959	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW126/2010	CY130967	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/blue-winged_teal/Wisconsin/172/1978	CY181283	H3N2	1978-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/swine/Ohio/10SW131/2010	CY130991	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/blue-winged_teal/Wisconsin/97/1978	CY181235	H3N2	1978-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/swine/Ohio/10SW132/2010	CY130999	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/pintail/Wisconsin/122/1978	CY181187	H3N2	1978-XX-XX	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/swine/Ohio/09SW98/2009	CY130927	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW83M/2009	CY130823	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
