strain	accession	subtype	date	host	country	region	species	broad	order
A/duck/Bangladesh/30827/2016	MG042397	H3N8	2016-09-27	Avian	Bangladesh	South Asia	Duck	duck	Anseriformes
A/duck/Korea/GJ79/2007	JN087247	H3N8	2007-11-29	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Bangladesh/34191/2017	MH791582	H3N1	2017-11-25	Avian	Bangladesh	South Asia	Duck	duck	Anseriformes
A/duck/Bangladesh/34194/2017	MH791835	H3N1	2017-11-25	Avian	Bangladesh	South Asia	Duck	duck	Anseriformes
A/swine/Manitoba/D0472/2016	CY246673	H3N2	2016-12-01	Swine	Canada	North America	Swine	swine	Swine
A/duck/Korea/GJ80/2007	JN087255	H3N8	2007-11-29	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/blue-winged_teal/Ohio/1858/2006	CY095645	H3N8	2006-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/duck/Bangladesh/34192/2017	MH791929	H3N1	2017-11-25	Avian	Bangladesh	South Asia	Duck	duck	Anseriformes
A/swine/Manitoba/DM_18/2017	MK328698	H3N2	2017-04-28	Swine	Canada	North America	Swine	swine	Swine
A/swine/Argentina/CIP051-A2/2008	CY092323	H3N2	2008-11-XX	Swine	Argentina	South America	Swine	swine	Swine
A/duck/Bangladesh/34186/2017	MH791757	H3N1	2017-11-25	Avian	Bangladesh	South Asia	Duck	duck	Anseriformes
A/swine/Saskatchewan/SD0256/2017	MK462472	H3N2	2017-11-23	Swine	Canada	North America	Swine	swine	Swine
A/mallard/Maryland/07OS882/2007	CY203746	H3N6	2007-06-27	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Alberta/SD0179/2016	CY246465	H3N2	2016-08-30	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0271/2018	MK462568	H3N2	2018-03-09	Swine	Canada	North America	Swine	swine	Swine
A/mallard/Maryland/681/2005	CY021266	H3N2	2005-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
