strain	accession	subtype	date	host	country	region	species	broad	order
A/green-winged_teal/Ohio/15OS5438/2015	KY561113	H3N2	2015-09-16	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/mallard/Ohio/17OS1796/2017	MK237574	H3N2	2017-08-08	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/Ohio/15OS4288/2015	KY678660	H3N6	2015-08-21	Avian	Usa	North America	Mallard	duck	Anseriformes
A/duck/Moscow/5037/2014	MT773427	H3N8	2014-10-XX	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/swine/Indiana/16TOSU4068/2016	KY935538	H3N2	2016-07-01	Swine	Usa	North America	Swine	swine	Swine
A/Domestic_duck/Iran/domestic_duck_375/2017	MW422782	H3N2	2017-09-XX	Avian	Iran	West Asia	Duck	duck	Anseriformes
A/mallard/Ohio/17OS1804/2017	MK237444	H3N2	2017-08-08	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Kansas/A01378025/2017	MF172992	H3N2	2017-05-01	Swine	Usa	North America	Swine	swine	Swine
A/duck/Mongolia/179/2015	LC121312	H3N8	2015-08-30	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/duck/Mongolia/777/2015	LC121464	H3N8	2015-08-31	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/Duck/Mongolia/2021-MG09/2021	OP704041	H3N6	2021-08-XX	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/Bar-headed_goose__Anser_indicus_/India/DBC1-12a/2016	MW036336	H3N8	2016-03-15	Avian	India	South Asia	Bar-headed Goose	goose	Anseriformes
A/Equus_caballus/Ulaanbaatar/3/2011	MH796317	H3N8	2011-07-05	Equine	Mongolia	West Asia	Equine	equine	Equine
A/swine/Quebec/1279825/2011	KX571141	H3N2	2011-03-10	Swine	Canada	North America	Swine	swine	Swine
A/harbor_seal/Massachusetts/1/2011	JQ433883	H3N8	2011-09-XX	Seal	Usa	North America	Harbor Seal	seal	Seal
A/canine/Korea/MV1/2012	KF155149	H3N2	2012-11-07	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/swine/Guangdong/166/06	EU273793	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/duck/Mongolia/MN18-5/2018	MW487340	H3N8	2018-09-10	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/duck/South_Africa/1108/2004	EF041491	H3N8	2004-XX-XX	Avian	South Africa	Africa	Duck	duck	Anseriformes
A/northern_shoveler/Mongolia/899V/2009	KC871459	H3N6	2009-09-15	Avian	Mongolia	West Asia	Northern Shoveler	duck	Anseriformes
A/duck/Hebei/B1646-2/2011	KU158920	H3N2	2011-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/swine/France/59-120031/2012	KC345625	H3N2	2012-01-18	Swine	France	Europe	Swine	swine	Swine
A/canine/Heilongjiang/L1/2013	KF042280	H3N2	2013-03-10	Canine	China	China	Canine	canine	Canine
A/swine/Ohio/12TOSU338/2012	KC866477	H3N2	2012-08-03	Swine	Usa	North America	Swine	swine	Swine
A/mallard/Mongolia/1551/2010	KC871479	H3N1	2010-09-10	Avian	Mongolia	West Asia	Mallard	duck	Anseriformes
A/velvet_scoter/Mongolia/969V/2009	KC871507	H3N8	2009-09-15	Avian	Mongolia	West Asia	Velvet Scoter	duck	Anseriformes
A/swine/Ohio/12TOSU433/2012	KC866485	H3N2	2012-08-06	Swine	Usa	North America	Swine	swine	Swine
A/northern_shoveler/Mongolia/957/2009	KC871523	H3N8	2009-09-15	Avian	Mongolia	West Asia	Northern Shoveler	duck	Anseriformes
A/swine/Ohio/12TOSU421/2012	KC866509	H3N2	2012-08-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU411/2012	KC866517	H3N2	2012-08-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU439/2012	KC866525	H3N2	2012-08-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/HuNan/01/2008	KC620458	H3N2	2008-03-10	Swine	China	China	Swine	swine	Swine
A/domestic_green-winged_teal/Hunan/2036/2007	KC709827	H3N6	2007-02-16	Avian	China	China	Domestic Green-winged Teal	duck	Anseriformes
A/swine/Ohio/12TOSU325/2012	KC855540	H3N2	2012-08-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU318/2012	KC855532	H3N2	2012-08-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU176/2012	KC855524	H3N2	2012-07-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU129/2012	KC855516	H3N2	2012-07-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU308/2012	KC855508	H3N2	2012-08-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU138/2012	KC855500	H3N2	2012-07-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU175/2012	KC855492	H3N2	2012-07-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU50/2012	KC866581	H3N2	2012-06-22	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU52/2012	KC866573	H3N2	2012-06-22	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU409/2012	KC866533	H3N2	2012-08-06	Swine	Usa	North America	Swine	swine	Swine
A/equine/Otar/764/2007	JF683501	H3N8	2007-XX-XX	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/goose/Zambia/06/2008	AB569515	H3N8	2008-07-XX	Avian	Zambia	Africa	Goose	goose	Anseriformes
A/goose/Zambia/05/2008	AB569507	H3N8	2008-07-XX	Avian	Zambia	Africa	Goose	goose	Anseriformes
A/duck/Hokkaido/5/1977	AB612888	H3N2	1977-XX-XX	Avian	Japan	Japan Korea	Duck	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119435S.8.A/2017	MN254285	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119434S.8.A/2017	MN254284	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119431S.8.A/2017	MN254281	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119429S.8.B/2017	MN254279	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119429S.8.A/2017	MN254278	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119445S.8.A/2017	MN254288	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Blue-winged_Teal/Wisconsin/AH0099825S.8.A/2016	MN254263	H3N2	2016-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/Mallard/North_Dakota/AH0050110S.8.A/2015	MN254238	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/North_Dakota/AH0050033S.8.A/2015	MN254237	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Blue-winged_Teal/Texas/AH0041113S.8.A/2015	MN254228	H3N8	2015-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/Mallard/North_Dakota/AH0037693S.8.A/2015	MN254218	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
